stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6852,0.0136
0.0,conformal_risk_filter,0.7093,0.0085
0.0,proposed_branch_mechanism,0.7438,0.0181
0.0,oracle_branch_upper_bound,0.7957,0.0130
0.2,scalar_uncertainty_planner,0.6312,0.0153
0.2,conformal_risk_filter,0.6683,0.0106
0.2,proposed_branch_mechanism,0.7140,0.0183
0.2,oracle_branch_upper_bound,0.7738,0.0135
0.4,scalar_uncertainty_planner,0.5700,0.0190
0.4,conformal_risk_filter,0.6233,0.0118
0.4,proposed_branch_mechanism,0.6869,0.0192
0.4,oracle_branch_upper_bound,0.7545,0.0168
0.6,scalar_uncertainty_planner,0.5176,0.0206
0.6,conformal_risk_filter,0.5755,0.0141
0.6,proposed_branch_mechanism,0.6571,0.0226
0.6,oracle_branch_upper_bound,0.7357,0.0186
0.8,scalar_uncertainty_planner,0.4536,0.0218
0.8,conformal_risk_filter,0.5281,0.0129
0.8,proposed_branch_mechanism,0.6283,0.0209
0.8,oracle_branch_upper_bound,0.7136,0.0188
1.0,scalar_uncertainty_planner,0.3979,0.0193
1.0,conformal_risk_filter,0.4890,0.0139
1.0,proposed_branch_mechanism,0.6010,0.0188
1.0,oracle_branch_upper_bound,0.6938,0.0204
