method,split,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,mean_contact_violation,mean_disagreement,episodes,seeds
conformal_risk_filter,combined_shift,0.5833,0.1258,0.0770,0.0125,0.4827,0.0148,0.0000,0.0438,60,5
conformal_risk_filter,high_friction,1.0000,0.0000,0.0190,0.0007,0.4913,0.0093,0.0000,0.0137,60,5
conformal_risk_filter,low_friction,1.0000,0.0000,0.0115,0.0014,0.3650,0.0088,0.0000,0.0127,60,5
conformal_risk_filter,nominal,1.0000,0.0000,0.0099,0.0014,0.4133,0.0080,0.0000,0.0112,60,5
conformal_risk_filter,sticky_contact,1.0000,0.0000,0.0351,0.0015,0.6748,0.0118,0.0000,0.0183,60,5
conformal_risk_filter,tactile_noise,0.9333,0.0637,0.0383,0.0070,0.3942,0.0118,0.0000,0.0575,60,5
conformal_risk_filter,vision_bias,0.5000,0.1276,0.0841,0.0154,0.3952,0.0163,0.0000,0.0280,60,5
diagnostic_probe_then_mpc,combined_shift,0.6333,0.1230,0.0701,0.0148,0.6008,0.0192,0.0000,0.0630,60,5
diagnostic_probe_then_mpc,high_friction,1.0000,0.0000,0.0179,0.0011,0.5766,0.0110,0.0000,0.0506,60,5
diagnostic_probe_then_mpc,low_friction,1.0000,0.0000,0.0128,0.0020,0.4195,0.0084,0.0000,0.0585,60,5
diagnostic_probe_then_mpc,nominal,1.0000,0.0000,0.0118,0.0015,0.4681,0.0090,0.0000,0.0550,60,5
diagnostic_probe_then_mpc,sticky_contact,1.0000,0.0000,0.0312,0.0017,0.8037,0.0134,0.0000,0.0445,60,5
diagnostic_probe_then_mpc,tactile_noise,0.8500,0.0911,0.0393,0.0090,0.5087,0.0130,0.0000,0.0675,60,5
diagnostic_probe_then_mpc,vision_bias,0.5667,0.1264,0.0704,0.0173,0.4828,0.0161,0.0000,0.0558,60,5
ensemble_uncertainty_mpc,combined_shift,0.7333,0.1128,0.0637,0.0138,0.5131,0.0176,0.0000,0.0420,60,5
ensemble_uncertainty_mpc,high_friction,1.0000,0.0000,0.0203,0.0009,0.4870,0.0102,0.0000,0.0144,60,5
ensemble_uncertainty_mpc,low_friction,1.0000,0.0000,0.0104,0.0011,0.3636,0.0091,0.0000,0.0127,60,5
ensemble_uncertainty_mpc,nominal,1.0000,0.0000,0.0105,0.0015,0.4075,0.0087,0.0000,0.0109,60,5
ensemble_uncertainty_mpc,sticky_contact,1.0000,0.0000,0.0357,0.0014,0.6746,0.0134,0.0000,0.0170,60,5
ensemble_uncertainty_mpc,tactile_noise,0.9667,0.0458,0.0231,0.0048,0.4136,0.0105,0.0000,0.0545,60,5
ensemble_uncertainty_mpc,vision_bias,0.6000,0.1250,0.0729,0.0186,0.3985,0.0113,0.0000,0.0343,60,5
mean_fusion_mpc,combined_shift,0.6667,0.1203,0.0642,0.0121,0.5015,0.0138,0.0000,0.0425,60,5
mean_fusion_mpc,high_friction,1.0000,0.0000,0.0205,0.0007,0.4984,0.0101,0.0000,0.0126,60,5
mean_fusion_mpc,low_friction,1.0000,0.0000,0.0118,0.0014,0.3634,0.0093,0.0000,0.0145,60,5
mean_fusion_mpc,nominal,1.0000,0.0000,0.0121,0.0012,0.4046,0.0074,0.0000,0.0104,60,5
