method,split,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,mean_contact_violation,mean_disagreement,episodes,seeds
mean_fusion_mpc,sticky_contact,1.0000,0.0000,0.0356,0.0014,0.6729,0.0129,0.0000,0.0158,60,5
mean_fusion_mpc,tactile_noise,0.9833,0.0327,0.0150,0.0034,0.4105,0.0092,0.0000,0.0510,60,5
mean_fusion_mpc,vision_bias,0.4500,0.1269,0.0927,0.0174,0.3925,0.0137,0.0000,0.0281,60,5
oracle_mode_mpc,combined_shift,0.8000,0.1021,0.0522,0.0074,0.5539,0.0207,0.0000,0.0475,60,5
oracle_mode_mpc,high_friction,1.0000,0.0000,0.0315,0.0021,0.5243,0.0105,0.0000,0.0142,60,5
oracle_mode_mpc,low_friction,1.0000,0.0000,0.0272,0.0016,0.3155,0.0085,0.0000,0.0130,60,5
oracle_mode_mpc,nominal,1.0000,0.0000,0.0274,0.0017,0.3895,0.0091,0.0000,0.0110,60,5
oracle_mode_mpc,sticky_contact,1.0000,0.0000,0.0236,0.0025,0.7722,0.0124,0.0000,0.0164,60,5
oracle_mode_mpc,tactile_noise,0.9333,0.0637,0.0427,0.0049,0.4143,0.0106,0.0000,0.0526,60,5
oracle_mode_mpc,vision_bias,0.7667,0.1079,0.0496,0.0077,0.4004,0.0167,0.0000,0.0277,60,5
random_push,combined_shift,0.0833,0.0705,0.1505,0.0145,0.4151,0.0228,0.0000,0.0410,60,5
random_push,high_friction,0.2667,0.1128,0.1083,0.0122,0.4298,0.0196,0.0000,0.0146,60,5
random_push,low_friction,0.3000,0.1169,0.1042,0.0117,0.3271,0.0153,0.0000,0.0133,60,5
random_push,nominal,0.3500,0.1217,0.0993,0.0115,0.3570,0.0132,0.0000,0.0097,60,5
random_push,sticky_contact,0.4333,0.1264,0.0962,0.0121,0.6117,0.0233,0.0000,0.0164,60,5
random_push,tactile_noise,0.3000,0.1169,0.1031,0.0122,0.3676,0.0174,0.0000,0.0498,60,5
random_push,vision_bias,0.1833,0.0987,0.1319,0.0150,0.3615,0.0168,0.0000,0.0315,60,5
tactile_only_mpc,combined_shift,0.6333,0.1230,0.0738,0.0159,0.5006,0.0165,0.0000,0.0444,60,5
tactile_only_mpc,high_friction,1.0000,0.0000,0.0200,0.0012,0.4889,0.0095,0.0000,0.0122,60,5
tactile_only_mpc,low_friction,1.0000,0.0000,0.0126,0.0016,0.3715,0.0086,0.0000,0.0125,60,5
tactile_only_mpc,nominal,1.0000,0.0000,0.0109,0.0013,0.4026,0.0090,0.0000,0.0124,60,5
tactile_only_mpc,sticky_contact,1.0000,0.0000,0.0353,0.0015,0.6782,0.0131,0.0000,0.0148,60,5
tactile_only_mpc,tactile_noise,0.8333,0.0951,0.0419,0.0104,0.4117,0.0122,0.0000,0.0532,60,5
tactile_only_mpc,vision_bias,0.5167,0.1275,0.0832,0.0157,0.3827,0.0149,0.0000,0.0268,60,5
vision_only_mpc,combined_shift,0.5500,0.1269,0.0732,0.0114,0.5270,0.0430,0.0000,0.0464,60,5
vision_only_mpc,high_friction,1.0000,0.0000,0.0219,0.0007,0.4980,0.0091,0.0000,0.0128,60,5
vision_only_mpc,low_friction,1.0000,0.0000,0.0105,0.0015,0.3681,0.0091,0.0000,0.0129,60,5
vision_only_mpc,nominal,1.0000,0.0000,0.0117,0.0015,0.4029,0.0094,0.0000,0.0112,60,5
vision_only_mpc,sticky_contact,1.0000,0.0000,0.0381,0.0014,0.6775,0.0136,0.0000,0.0175,60,5
vision_only_mpc,tactile_noise,1.0000,0.0000,0.0121,0.0015,0.4143,0.0084,0.0000,0.0517,60,5
vision_only_mpc,vision_bias,0.4833,0.1275,0.0759,0.0155,0.4079,0.0115,0.0000,0.0298,60,5
vt_disagreement_branch_mpc,combined_shift,0.4500,0.1269,0.0943,0.0183,0.5637,0.0258,0.0000,0.0516,60,5
vt_disagreement_branch_mpc,high_friction,1.0000,0.0000,0.0186,0.0009,0.4850,0.0090,0.0000,0.0150,60,5
vt_disagreement_branch_mpc,low_friction,1.0000,0.0000,0.0113,0.0018,0.3537,0.0096,0.0000,0.0128,60,5
vt_disagreement_branch_mpc,nominal,1.0000,0.0000,0.0123,0.0019,0.3955,0.0078,0.0000,0.0123,60,5
vt_disagreement_branch_mpc,sticky_contact,1.0000,0.0000,0.0365,0.0017,0.6785,0.0131,0.0000,0.0163,60,5
vt_disagreement_branch_mpc,tactile_noise,0.8000,0.1021,0.0394,0.0100,0.4780,0.0164,0.0000,0.0598,60,5
vt_disagreement_branch_mpc,vision_bias,0.5167,0.1275,0.0802,0.0156,0.4152,0.0159,0.0000,0.0365,60,5
