method,split,seed,episode,success,final_error,energy,max_contact_force,contact_violation,probe_contact,used_diagnostic,disagreement,branch_entropy,probe_value,fallback_used,action_move,action_dir_x,action_dir_y,action_anchor_x,action_anchor_y,object_path,pusher_path,true_friction,vision_bias_norm,tactile_noise,action_note
cvtb_mpc_v5,combined_shift,0,0,1,0.05291,0.52216,5.97219,0,1,0,0.11038,1.24867,0.14040,0.0,0.24746,0.93368,0.35811,0.04557,-0.00341,0.22417,0.23254,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,1,0,0.15367,0.39140,4.58226,0,1,0,0.01984,1.18763,0.05146,0.0,0.21265,0.97034,0.24175,-0.01799,-0.05374,0.02190,0.19994,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,2,1,0.01368,0.45105,8.58929,0,1,0,0.02013,1.18780,0.05161,0.0,0.18047,0.89990,0.43610,0.07443,0.04450,0.10396,0.16630,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,3,0,0.10359,0.52308,6.22767,0,1,0,0.01152,1.18656,0.04728,0.0,0.25147,0.96856,0.24877,0.04647,-0.01004,0.13069,0.23644,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,4,1,0.06921,0.53804,9.11952,0,1,0,0.03984,1.19762,0.06702,0.0,0.27512,1.00000,0.00228,-0.02617,-0.00452,0.20010,0.25839,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,5,0,0.10483,0.45082,8.08664,0,1,0,0.02437,1.19017,0.05379,0.0,0.19552,0.99994,-0.01073,-0.01505,0.09018,0.07075,0.18276,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,6,0,0.08399,0.53827,9.01650,0,1,0,0.06029,1.22535,0.08908,0.0,0.28585,0.92250,0.38600,0.03139,-0.03561,0.19489,0.26779,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,7,0,0.11176,0.53331,8.89213,0,1,0,0.07008,1.23764,0.09953,0.0,0.28541,0.97918,0.20298,-0.00462,0.08553,0.12317,0.26797,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,8,1,0.05955,0.46174,10.61115,0,1,0,0.03461,1.19534,0.06154,0.0,0.19860,0.99775,-0.06698,-0.02890,-0.08656,0.12732,0.18421,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,9,1,0.02572,0.65191,14.07888,0,1,0,0.02468,1.19035,0.05395,0.0,0.24205,0.97629,0.21645,0.00559,-0.00364,0.21711,0.22254,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,10,0,0.15484,0.52909,7.73807,0,1,0,0.03563,1.19581,0.06260,0.0,0.32200,0.86286,-0.50544,-0.02679,0.00608,0.10573,0.30397,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,11,1,0.03360,0.59618,13.18734,0,1,0,0.02352,1.18971,0.05336,0.0,0.34000,0.91748,-0.39779,-0.06376,-0.03570,0.22771,0.31481,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,12,1,0.04327,0.52780,5.77542,0,1,0,0.03220,1.19421,0.05899,0.0,0.24780,0.94837,-0.31715,0.05615,-0.07158,0.17001,0.22780,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,13,0,0.10821,0.47361,9.97271,0,1,0,0.03397,1.19505,0.06086,0.0,0.18948,0.99555,-0.09421,-0.00603,-0.11062,0.09602,0.17744,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,14,0,0.08186,0.49714,7.18254,0,1,0,0.04907,1.20721,0.07688,0.0,0.24254,0.94561,-0.32529,0.00307,-0.00267,0.15606,0.22799,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,15,0,0.12529,0.47551,9.66202,0,1,0,0.10628,1.25092,0.13643,0.0,0.28213,0.74494,0.66714,-0.02875,-0.05427,0.10255,0.26585,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,16,1,0.05005,0.54645,10.14893,0,1,0,0.04249,1.19868,0.06980,0.0,0.31064,0.95330,0.30202,-0.04353,-0.03693,0.23662,0.28779,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,17,1,0.02488,0.55933,6.43512,0,1,0,0.02150,1.18858,0.05232,0.0,0.22948,0.99385,-0.11077,0.02770,-0.04221,0.15192,0.21066,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,18,1,0.05354,0.56395,7.10422,0,1,0,0.00821,1.18656,0.04562,0.0,0.28270,0.96229,0.27201,0.02702,0.03367,0.18723,0.26137,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,19,0,0.12232,0.52103,9.57125,0,1,0,0.06540,1.23218,0.09455,0.0,0.28377,0.98611,-0.16608,-0.01117,0.11827,0.10265,0.26437,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,20,0,0.08571,0.52027,8.01926,0,1,0,0.03859,1.19710,0.06571,0.0,0.23625,0.99339,-0.11478,0.00257,-0.06679,0.12787,0.22007,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,21,1,0.06322,0.44240,7.39982,0,1,0,0.03006,1.19315,0.05673,0.0,0.16313,0.98743,-0.15809,0.02965,-0.09337,0.08598,0.15155,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,22,1,0.05411,0.49490,10.06039,0,1,0,0.02731,1.19174,0.05530,0.0,0.25241,0.99958,0.02902,-0.00284,0.02947,0.17328,0.23242,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,0,23,0,0.11834,0.48792,9.71675,0,1,0,0.05199,1.21233,0.08007,0.0,0.26514,0.96689,0.25519,0.01186,-0.02123,0.11483,0.24706,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,0,1,0.03686,0.61760,12.58995,0,1,0,0.04368,1.19912,0.07103,0.0,0.21371,0.99058,0.13693,0.05592,-0.03934,0.17593,0.19532,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,1,0,0.10931,0.54905,8.32053,0,1,0,0.06857,1.23596,0.09793,0.0,0.34000,0.89586,0.44433,-0.04540,-0.12307,0.15487,0.31847,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,2,1,0.02992,0.52316,9.55986,0,1,0,0.03420,1.19515,0.06111,0.0,0.24674,0.96128,0.27556,-0.04132,0.02037,0.17390,0.22828,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,3,0,0.09702,0.45103,7.36822,0,1,0,0.06768,1.23494,0.09699,0.0,0.17232,0.99972,0.02375,0.08504,0.01546,0.09842,0.16091,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,4,1,0.02408,0.70947,12.86768,0,1,0,0.04486,1.19955,0.07226,0.0,0.25676,0.96861,-0.24857,0.05248,-0.04531,0.21178,0.23628,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,5,1,0.02572,0.65299,11.14727,0,1,0,0.00913,1.18656,0.04609,0.0,0.21520,0.99946,-0.03301,0.09480,-0.03472,0.19819,0.20055,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,6,0,0.15727,0.48191,6.06828,0,1,0,0.06031,1.22538,0.08910,0.0,0.29887,0.99673,-0.08085,-0.07121,-0.13828,0.09203,0.28200,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,7,0,0.08426,0.54879,7.17183,0,1,0,0.03139,1.19381,0.05814,0.0,0.26944,0.98048,0.19662,0.02044,-0.00165,0.16800,0.25260,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,8,0,0.10827,0.45943,7.07765,0,1,0,0.03334,1.19475,0.06020,0.0,0.22414,0.95316,0.30246,-0.01098,-0.09234,0.11045,0.21178,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,9,1,0.03639,0.56971,7.99621,0,1,0,0.04559,1.20073,0.07305,0.0,0.31724,0.97143,-0.23732,-0.01190,0.03699,0.22190,0.29293,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,10,1,0.04172,0.45926,7.63542,0,1,0,0.04893,1.20696,0.07672,0.0,0.18753,0.99889,0.04704,0.01512,0.06713,0.10950,0.17162,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,11,0,0.10389,0.50076,9.19679,0,1,0,0.01744,1.18656,0.05023,0.0,0.23755,0.99500,-0.09992,-0.02520,0.09798,0.11086,0.22295,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,12,1,0.03546,0.55734,13.71050,0,1,0,0.04157,1.19832,0.06884,0.0,0.16767,0.98677,0.16210,-0.00638,-0.04032,0.13359,0.15274,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,13,1,0.02524,0.51093,6.25457,0,1,0,0.04322,1.19895,0.07055,0.0,0.20934,0.90899,-0.41681,0.04808,-0.01034,0.14582,0.19199,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,14,0,0.12928,0.49252,13.51722,0,1,0,0.08085,1.24718,0.11082,0.0,0.22012,0.75522,0.65547,0.03393,-0.01113,0.12630,0.21736,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,15,1,0.01724,0.46025,6.65623,0,1,0,0.03667,1.19627,0.06370,0.0,0.22212,0.87076,-0.49172,0.01920,-0.01816,0.15063,0.20593,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,16,1,0.03701,0.70181,10.97081,0,1,0,0.05524,1.21771,0.08361,0.0,0.25617,0.99962,0.02760,0.06448,-0.11672,0.23021,0.23616,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,17,1,0.01830,0.47503,8.52663,0,1,0,0.01596,1.18656,0.04949,0.0,0.21467,0.93648,-0.35072,-0.01286,-0.00166,0.12328,0.19790,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,18,0,0.07997,0.50880,9.00962,0,1,0,0.02062,1.18808,0.05187,0.0,0.23990,0.98000,-0.19898,-0.00881,-0.07598,0.13728,0.22329,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,19,1,0.03210,0.46905,5.88296,0,1,0,0.03885,1.19721,0.06599,0.0,0.17210,0.97647,-0.21564,0.01964,-0.07676,0.10751,0.15646,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,20,0,0.09104,0.45836,8.15792,0,1,0,0.02601,1.19106,0.05463,0.0,0.18277,0.99385,-0.11071,0.02007,-0.01437,0.09580,0.17131,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,21,0,0.09317,0.54627,6.97271,0,1,0,0.05526,1.21773,0.08363,0.0,0.26821,0.91529,-0.40279,0.00612,-0.00909,0.14336,0.25520,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,22,1,0.03992,0.53283,8.86991,0,1,0,0.07176,1.23942,0.10131,0.0,0.25032,0.98808,-0.15394,0.01743,-0.08912,0.20033,0.23027,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,1,23,0,0.10174,0.53468,9.65027,0,1,0,0.00140,1.18656,0.04223,0.0,0.29645,0.91641,0.40023,-0.03374,0.02532,0.16534,0.27807,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,0,1,0.02696,0.55848,11.05733,0,1,0,0.04077,1.19800,0.06800,0.0,0.29754,0.98636,-0.16459,-0.05830,0.07574,0.22470,0.27485,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,1,0,0.13207,0.43929,5.10871,0,1,0,0.04556,1.20068,0.07302,0.0,0.22187,0.96937,-0.24560,0.00596,0.01794,0.06117,0.20934,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,2,0,0.13353,0.51567,9.09561,0,1,0,0.03530,1.19566,0.06226,0.0,0.25294,0.99994,-0.01063,0.04357,0.08601,0.11908,0.23758,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,3,0,0.12492,0.42193,4.36714,0,1,0,0.02829,1.19225,0.05580,0.0,0.20976,0.91415,-0.40538,0.00270,0.05888,0.07439,0.19779,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,4,1,0.06891,0.45172,6.40915,0,1,0,0.04763,1.20459,0.07531,0.0,0.24346,0.98340,-0.18145,0.03966,0.05519,0.12033,0.22766,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,5,0,0.13815,0.51935,12.08844,0,1,0,0.03750,1.19664,0.06458,0.0,0.25683,0.88485,-0.46587,0.01012,0.00720,0.11400,0.24576,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,6,1,0.02792,0.56890,9.30892,0,1,0,0.04372,1.19914,0.07108,0.0,0.30639,0.99614,0.08773,0.00997,0.02603,0.23123,0.28352,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,7,1,0.03083,0.44286,7.94180,0,1,0,0.04311,1.19891,0.07044,0.0,0.19176,0.95391,-0.30011,0.05850,-0.01124,0.11046,0.17488,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,8,0,0.11575,0.59767,13.52157,0,1,0,0.05880,1.22317,0.08746,0.0,0.31541,0.99952,0.03094,-0.00761,-0.03812,0.14937,0.29732,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,9,0,0.10968,0.36776,5.05540,0,1,0,0.03748,1.19663,0.06455,0.0,0.19026,0.81422,0.58056,0.00992,-0.06719,0.03644,0.17932,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,10,1,0.06951,0.45445,9.07581,0,1,0,0.00835,1.18656,0.04570,0.0,0.19235,0.98877,0.14946,0.02823,-0.00493,0.09850,0.17806,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,11,0,0.08839,0.51148,6.68034,0,1,0,0.02690,1.19153,0.05509,0.0,0.27785,0.81635,0.57755,0.02243,-0.04311,0.16212,0.26036,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,12,1,0.03299,0.55291,6.11131,0,1,0,0.04404,1.19926,0.07141,0.0,0.22507,0.99864,0.05214,0.07643,-0.04321,0.15808,0.20629,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,13,1,0.02626,0.48538,7.14349,0,1,0,0.03392,1.19502,0.06081,0.0,0.19863,0.97609,0.21735,0.02086,-0.00362,0.11763,0.18189,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,14,1,0.03776,0.45211,7.29415,0,1,0,0.00401,1.18656,0.04353,0.0,0.17004,0.99990,0.01421,0.00780,0.00246,0.08607,0.15490,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
cvtb_mpc_v5,combined_shift,2,15,1,0.05067,0.56792,10.11360,0,1,0,0.05773,1.22158,0.08631,0.0,0.27738,0.99629,0.08609,0.04131,0.04629,0.21365,0.25360,1.3500,0.04500,0.03000,vision_health+tactile_health+sticky_physical+tactile_fault
