method,split,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,mean_contact_violation,mean_disagreement,mean_branch_entropy,diagnostic_rate,mean_probe_value,fallback_rate,episodes,seeds
diagnostic_probe_then_mpc,sticky_contact,1.0000,0.0000,0.0321,0.0009,0.8032,0.0069,0.0000,0.0463,0.0000,1.0000,0.0000,0.0000,192,8
diagnostic_probe_then_mpc,tactile_noise,0.8021,0.0565,0.0415,0.0059,0.5026,0.0079,0.0000,0.0693,0.0000,1.0000,0.0000,0.0000,192,8
diagnostic_probe_then_mpc,vision_bias,0.4740,0.0708,0.0866,0.0105,0.4704,0.0088,0.0000,0.0539,0.0000,1.0000,0.0000,0.0000,192,8
ensemble_uncertainty_mpc,combined_shift,0.5417,0.0707,0.0797,0.0080,0.5059,0.0087,0.0000,0.0427,1.0768,0.0000,0.0579,0.0000,192,8
ensemble_uncertainty_mpc,contact_dropout,0.8490,0.0508,0.0408,0.0051,0.4576,0.0062,0.0000,0.0357,1.0768,0.0000,0.0530,0.0000,192,8
ensemble_uncertainty_mpc,delayed_touch_sticky,0.6354,0.0683,0.0881,0.0086,0.7533,0.0201,0.0000,0.0168,1.0768,0.0000,0.0424,0.0000,192,8
ensemble_uncertainty_mpc,high_friction,1.0000,0.0000,0.0195,0.0005,0.4908,0.0055,0.0000,0.0131,1.0768,0.0000,0.0412,0.0000,192,8
ensemble_uncertainty_mpc,low_friction,1.0000,0.0000,0.0122,0.0008,0.3663,0.0050,0.0000,0.0128,1.0768,0.0000,0.0411,0.0000,192,8
ensemble_uncertainty_mpc,nominal,1.0000,0.0000,0.0113,0.0007,0.4059,0.0048,0.0000,0.0106,1.0768,0.0000,0.0405,0.0000,192,8
ensemble_uncertainty_mpc,sensor_conflict,0.3177,0.0660,0.1548,0.0146,0.4215,0.0102,0.0000,0.0804,1.0768,0.0000,0.0874,0.0000,192,8
ensemble_uncertainty_mpc,sticky_contact,1.0000,0.0000,0.0348,0.0007,0.6758,0.0064,0.0000,0.0159,1.0768,0.0000,0.0421,0.0000,192,8
ensemble_uncertainty_mpc,tactile_noise,0.9635,0.0266,0.0208,0.0029,0.4240,0.0065,0.0000,0.0525,1.0768,0.0000,0.0651,0.0000,192,8
ensemble_uncertainty_mpc,vision_bias,0.4740,0.0708,0.0876,0.0108,0.3932,0.0083,0.0000,0.0289,1.0768,0.0000,0.0501,0.0000,192,8
mean_fusion_mpc,combined_shift,0.5729,0.0702,0.0751,0.0076,0.5111,0.0091,0.0000,0.0427,0.0000,0.0000,0.0000,0.0000,192,8
mean_fusion_mpc,contact_dropout,0.9115,0.0403,0.0352,0.0043,0.4587,0.0061,0.0000,0.0357,0.0000,0.0000,0.0000,0.0000,192,8
mean_fusion_mpc,delayed_touch_sticky,0.6354,0.0683,0.0825,0.0072,0.7606,0.0189,0.0000,0.0168,0.0000,0.0000,0.0000,0.0000,192,8
mean_fusion_mpc,high_friction,1.0000,0.0000,0.0199,0.0005,0.4902,0.0057,0.0000,0.0131,0.0000,0.0000,0.0000,0.0000,192,8
mean_fusion_mpc,low_friction,1.0000,0.0000,0.0119,0.0008,0.3672,0.0050,0.0000,0.0128,0.0000,0.0000,0.0000,0.0000,192,8
mean_fusion_mpc,nominal,1.0000,0.0000,0.0118,0.0008,0.4054,0.0048,0.0000,0.0106,0.0000,0.0000,0.0000,0.0000,192,8
mean_fusion_mpc,sensor_conflict,0.3750,0.0687,0.1430,0.0145,0.4305,0.0094,0.0000,0.0804,0.0000,0.0000,0.0000,0.0000,192,8
mean_fusion_mpc,sticky_contact,1.0000,0.0000,0.0354,0.0007,0.6743,0.0064,0.0000,0.0159,0.0000,0.0000,0.0000,0.0000,192,8
mean_fusion_mpc,tactile_noise,0.9948,0.0102,0.0144,0.0015,0.4243,0.0057,0.0000,0.0525,0.0000,0.0000,0.0000,0.0000,192,8
mean_fusion_mpc,vision_bias,0.4740,0.0708,0.0876,0.0108,0.3955,0.0082,0.0000,0.0289,0.0000,0.0000,0.0000,0.0000,192,8
old_vt_disagreement_branch_mpc,combined_shift,0.4948,0.0709,0.0827,0.0081,0.5517,0.0120,0.0000,0.0473,0.7744,0.5052,0.0559,0.0000,192,8
old_vt_disagreement_branch_mpc,contact_dropout,0.8021,0.0565,0.0446,0.0057,0.4867,0.0085,0.0000,0.0382,0.7781,0.3594,0.0501,0.0000,192,8
old_vt_disagreement_branch_mpc,delayed_touch_sticky,0.6406,0.0680,0.0869,0.0083,0.7556,0.0198,0.0000,0.0166,0.8400,0.0104,0.0378,0.0000,192,8
old_vt_disagreement_branch_mpc,high_friction,1.0000,0.0000,0.0195,0.0006,0.4882,0.0057,0.0000,0.0131,0.8425,0.0000,0.0358,0.0000,192,8
old_vt_disagreement_branch_mpc,low_friction,1.0000,0.0000,0.0127,0.0008,0.3641,0.0050,0.0000,0.0128,0.8427,0.0000,0.0357,0.0000,192,8
old_vt_disagreement_branch_mpc,nominal,1.0000,0.0000,0.0114,0.0008,0.4032,0.0046,0.0000,0.0106,0.8441,0.0000,0.0347,0.0000,192,8
old_vt_disagreement_branch_mpc,sensor_conflict,0.2865,0.0641,0.1642,0.0150,0.4864,0.0120,0.0000,0.0841,0.6838,0.8177,0.0783,0.0000,192,8
old_vt_disagreement_branch_mpc,sticky_contact,0.9948,0.0102,0.0349,0.0009,0.6771,0.0061,0.0000,0.0159,0.8403,0.0000,0.0372,0.0000,192,8
old_vt_disagreement_branch_mpc,tactile_noise,0.8385,0.0522,0.0372,0.0056,0.4758,0.0096,0.0000,0.0578,0.7491,0.6250,0.0622,0.0000,192,8
old_vt_disagreement_branch_mpc,vision_bias,0.4635,0.0707,0.0878,0.0106,0.4206,0.0110,0.0000,0.0347,0.7878,0.3490,0.0489,0.0000,192,8
oracle_mode_mpc,combined_shift,0.8594,0.0493,0.0500,0.0036,0.5522,0.0077,0.0000,0.0427,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,contact_dropout,0.9479,0.0315,0.0408,0.0024,0.4558,0.0068,0.0000,0.0357,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,delayed_touch_sticky,0.9219,0.0381,0.0429,0.0033,0.8881,0.0165,0.0000,0.0168,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,high_friction,1.0000,0.0000,0.0303,0.0011,0.5142,0.0065,0.0000,0.0131,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,low_friction,1.0000,0.0000,0.0287,0.0010,0.3239,0.0055,0.0000,0.0128,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,nominal,1.0000,0.0000,0.0275,0.0009,0.3913,0.0054,0.0000,0.0106,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,sensor_conflict,0.5781,0.0700,0.0725,0.0055,0.4599,0.0086,0.0000,0.0804,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,sticky_contact,1.0000,0.0000,0.0232,0.0013,0.7601,0.0070,0.0000,0.0159,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,tactile_noise,0.9688,0.0247,0.0390,0.0024,0.4034,0.0062,0.0000,0.0525,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,vision_bias,0.8073,0.0559,0.0526,0.0039,0.4011,0.0070,0.0000,0.0289,0.0000,0.0000,0.0000,0.0000,192,8
particle_belief_mpc,combined_shift,0.5729,0.0702,0.0768,0.0079,0.5095,0.0090,0.0000,0.0427,1.5661,0.0000,0.0816,0.0000,192,8
particle_belief_mpc,contact_dropout,0.8906,0.0443,0.0370,0.0046,0.4593,0.0064,0.0000,0.0357,1.5661,0.0000,0.0765,0.0000,192,8
particle_belief_mpc,delayed_touch_sticky,0.6302,0.0685,0.0870,0.0084,0.7555,0.0192,0.0000,0.0168,1.5661,0.0000,0.0640,0.0000,192,8
particle_belief_mpc,high_friction,1.0000,0.0000,0.0190,0.0005,0.4908,0.0055,0.0000,0.0131,1.5661,0.0000,0.0619,0.0000,192,8
particle_belief_mpc,low_friction,1.0000,0.0000,0.0124,0.0008,0.3646,0.0049,0.0000,0.0128,1.5661,0.0000,0.0618,0.0000,192,8
particle_belief_mpc,nominal,1.0000,0.0000,0.0113,0.0008,0.4037,0.0049,0.0000,0.0106,1.5661,0.0000,0.0606,0.0000,192,8
particle_belief_mpc,sensor_conflict,0.3438,0.0674,0.1493,0.0146,0.4299,0.0102,0.0000,0.0804,1.5661,0.0000,0.1108,0.0000,192,8
particle_belief_mpc,sticky_contact,1.0000,0.0000,0.0343,0.0007,0.6789,0.0064,0.0000,0.0159,1.5661,0.0000,0.0635,0.0000,192,8
particle_belief_mpc,tactile_noise,0.9896,0.0144,0.0162,0.0020,0.4268,0.0066,0.0000,0.0525,1.5661,0.0000,0.0889,0.0000,192,8
particle_belief_mpc,vision_bias,0.4688,0.0708,0.0878,0.0108,0.3955,0.0082,0.0000,0.0289,1.5661,0.0000,0.0724,0.0000,192,8
random_push,combined_shift,0.1406,0.0493,0.1400,0.0075,0.4298,0.0127,0.0000,0.0427,0.0000,0.0000,0.0536,0.0000,192,8
random_push,contact_dropout,0.1250,0.0469,0.1428,0.0077,0.3627,0.0086,0.0000,0.0357,0.0000,0.0000,0.0496,0.0000,192,8
random_push,delayed_touch_sticky,0.0469,0.0300,0.1728,0.0084,0.5913,0.0218,0.0000,0.0168,0.0000,0.0000,0.0380,0.0000,192,8
random_push,high_friction,0.3229,0.0663,0.0966,0.0062,0.4397,0.0094,0.0000,0.0131,0.0000,0.0000,0.0358,0.0000,192,8
random_push,low_friction,0.3646,0.0683,0.0903,0.0067,0.3365,0.0079,0.0000,0.0128,0.0000,0.0000,0.0357,0.0000,192,8
random_push,nominal,0.3333,0.0669,0.0965,0.0062,0.3701,0.0079,0.0000,0.0106,0.0000,0.0000,0.0347,0.0000,192,8
random_push,sensor_conflict,0.0104,0.0144,0.2016,0.0098,0.3531,0.0103,0.0000,0.0804,0.0000,0.0000,0.0763,0.0000,192,8
random_push,sticky_contact,0.2708,0.0630,0.1067,0.0068,0.5824,0.0151,0.0000,0.0159,0.0000,0.0000,0.0372,0.0000,192,8
random_push,tactile_noise,0.3073,0.0654,0.1032,0.0066,0.3669,0.0083,0.0000,0.0525,0.0000,0.0000,0.0595,0.0000,192,8
random_push,vision_bias,0.1458,0.0501,0.1427,0.0090,0.3585,0.0098,0.0000,0.0289,0.0000,0.0000,0.0455,0.0000,192,8
robust_minimax_mpc,combined_shift,0.5833,0.0699,0.0756,0.0083,0.5411,0.0093,0.0000,0.0427,1.3538,0.0000,0.0715,0.0000,192,8
robust_minimax_mpc,contact_dropout,0.8750,0.0469,0.0484,0.0044,0.4896,0.0059,0.0000,0.0357,1.3538,0.0000,0.0666,0.0000,192,8
robust_minimax_mpc,delayed_touch_sticky,0.6458,0.0678,0.0745,0.0084,0.7774,0.0193,0.0000,0.0168,1.3538,0.0000,0.0562,0.0000,192,8
robust_minimax_mpc,high_friction,1.0000,0.0000,0.0230,0.0018,0.5237,0.0061,0.0000,0.0131,1.3538,0.0000,0.0551,0.0000,192,8
robust_minimax_mpc,low_friction,0.9740,0.0226,0.0391,0.0029,0.3940,0.0059,0.0000,0.0128,1.3538,0.0000,0.0551,0.0000,192,8
robust_minimax_mpc,nominal,1.0000,0.0000,0.0290,0.0027,0.4338,0.0055,0.0000,0.0106,1.3538,0.0000,0.0545,0.0000,192,8
robust_minimax_mpc,sensor_conflict,0.3229,0.0663,0.1466,0.0141,0.4521,0.0104,0.0000,0.0804,1.3538,0.0000,0.1013,0.0000,192,8
robust_minimax_mpc,sticky_contact,1.0000,0.0000,0.0216,0.0010,0.7214,0.0070,0.0000,0.0159,1.3538,0.0000,0.0559,0.0000,192,8
robust_minimax_mpc,tactile_noise,1.0000,0.0000,0.0389,0.0025,0.4590,0.0066,0.0000,0.0525,1.3538,0.0000,0.0788,0.0000,192,8
robust_minimax_mpc,vision_bias,0.4375,0.0704,0.0981,0.0092,0.4257,0.0086,0.0000,0.0289,1.3538,0.0000,0.0638,0.0000,192,8
tactile_only_mpc,combined_shift,0.5052,0.0709,0.0832,0.0081,0.4984,0.0092,0.0000,0.0427,0.0000,0.0000,0.0000,0.0000,192,8
tactile_only_mpc,contact_dropout,0.8490,0.0508,0.0403,0.0053,0.4579,0.0064,0.0000,0.0357,0.0000,0.0000,0.0000,0.0000,192,8
tactile_only_mpc,delayed_touch_sticky,0.6250,0.0687,0.0890,0.0086,0.7549,0.0200,0.0000,0.0168,0.0000,0.0000,0.0000,0.0000,192,8
tactile_only_mpc,high_friction,1.0000,0.0000,0.0189,0.0006,0.4892,0.0057,0.0000,0.0131,0.0000,0.0000,0.0000,0.0000,192,8
tactile_only_mpc,low_friction,1.0000,0.0000,0.0129,0.0008,0.3646,0.0050,0.0000,0.0128,0.0000,0.0000,0.0000,0.0000,192,8
tactile_only_mpc,nominal,1.0000,0.0000,0.0113,0.0008,0.4046,0.0048,0.0000,0.0106,0.0000,0.0000,0.0000,0.0000,192,8
tactile_only_mpc,sensor_conflict,0.2865,0.0641,0.1678,0.0148,0.4166,0.0121,0.0000,0.0804,0.0000,0.0000,0.0000,0.0000,192,8
tactile_only_mpc,sticky_contact,0.9948,0.0102,0.0345,0.0010,0.6793,0.0064,0.0000,0.0159,0.0000,0.0000,0.0000,0.0000,192,8
tactile_only_mpc,tactile_noise,0.8594,0.0493,0.0367,0.0053,0.4203,0.0078,0.0000,0.0525,0.0000,0.0000,0.0000,0.0000,192,8
tactile_only_mpc,vision_bias,0.4688,0.0708,0.0875,0.0106,0.3866,0.0081,0.0000,0.0289,0.0000,0.0000,0.0000,0.0000,192,8
vision_only_mpc,combined_shift,0.6094,0.0692,0.0707,0.0070,0.5153,0.0086,0.0000,0.0427,0.0000,0.0000,0.0000,0.0000,192,8
vision_only_mpc,contact_dropout,0.9271,0.0369,0.0355,0.0040,0.4586,0.0058,0.0000,0.0357,0.0000,0.0000,0.0000,0.0000,192,8
vision_only_mpc,delayed_touch_sticky,0.6198,0.0688,0.0840,0.0073,0.7567,0.0189,0.0000,0.0168,0.0000,0.0000,0.0000,0.0000,192,8
vision_only_mpc,high_friction,1.0000,0.0000,0.0212,0.0004,0.4903,0.0056,0.0000,0.0131,0.0000,0.0000,0.0000,0.0000,192,8
vision_only_mpc,low_friction,1.0000,0.0000,0.0111,0.0008,0.3701,0.0051,0.0000,0.0128,0.0000,0.0000,0.0000,0.0000,192,8
vision_only_mpc,nominal,1.0000,0.0000,0.0125,0.0007,0.4077,0.0049,0.0000,0.0106,0.0000,0.0000,0.0000,0.0000,192,8
vision_only_mpc,sensor_conflict,0.3802,0.0688,0.1426,0.0142,0.4386,0.0099,0.0000,0.0804,0.0000,0.0000,0.0000,0.0000,192,8
vision_only_mpc,sticky_contact,1.0000,0.0000,0.0367,0.0007,0.6704,0.0063,0.0000,0.0159,0.0000,0.0000,0.0000,0.0000,192,8
vision_only_mpc,tactile_noise,1.0000,0.0000,0.0113,0.0006,0.4239,0.0056,0.0000,0.0525,0.0000,0.0000,0.0000,0.0000,192,8
vision_only_mpc,vision_bias,0.4740,0.0708,0.0877,0.0104,0.4048,0.0085,0.0000,0.0289,0.0000,0.0000,0.0000,0.0000,192,8
