method,split,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,mean_contact_violation,mean_disagreement,mean_branch_entropy,diagnostic_rate,mean_probe_value,fallback_rate,episodes,seeds
conformal_risk_filter,combined_shift,0.4948,0.0709,0.0843,0.0075,0.4941,0.0095,0.0000,0.0427,0.0000,0.0000,0.0000,0.0000,192,8
conformal_risk_filter,contact_dropout,0.8802,0.0461,0.0429,0.0047,0.4478,0.0064,0.0000,0.0357,0.0000,0.0000,0.0000,0.0000,192,8
conformal_risk_filter,delayed_touch_sticky,0.6302,0.0685,0.0830,0.0077,0.7560,0.0194,0.0000,0.0168,0.0000,0.0000,0.0000,0.0000,192,8
conformal_risk_filter,high_friction,1.0000,0.0000,0.0187,0.0004,0.4917,0.0056,0.0000,0.0131,0.0000,0.0000,0.0000,0.0000,192,8
conformal_risk_filter,low_friction,1.0000,0.0000,0.0125,0.0007,0.3696,0.0050,0.0000,0.0128,0.0000,0.0000,0.0000,0.0000,192,8
conformal_risk_filter,nominal,1.0000,0.0000,0.0108,0.0007,0.4080,0.0047,0.0000,0.0106,0.0000,0.0000,0.0000,0.0000,192,8
conformal_risk_filter,sensor_conflict,0.2812,0.0638,0.1628,0.0136,0.3928,0.0102,0.0000,0.0804,0.0000,0.0000,0.0000,0.0000,192,8
conformal_risk_filter,sticky_contact,1.0000,0.0000,0.0342,0.0007,0.6764,0.0065,0.0000,0.0159,0.0000,0.0000,0.0000,0.0000,192,8
conformal_risk_filter,tactile_noise,0.9219,0.0381,0.0311,0.0038,0.4061,0.0069,0.0000,0.0525,0.0000,0.0000,0.0000,0.0000,192,8
conformal_risk_filter,vision_bias,0.4688,0.0708,0.0921,0.0099,0.3858,0.0082,0.0000,0.0289,0.0000,0.0000,0.0000,0.0000,192,8
cvtb_mpc_v5,combined_shift,0.5469,0.0706,0.0777,0.0078,0.5088,0.0090,0.0000,0.0427,1.2061,0.0000,0.0721,0.0000,192,8
cvtb_mpc_v5,contact_dropout,0.8385,0.0522,0.0589,0.0033,0.4237,0.0059,0.0000,0.0357,1.1382,0.0000,0.0611,1.0000,192,8
cvtb_mpc_v5,delayed_touch_sticky,0.6250,0.0687,0.0854,0.0080,0.7559,0.0192,0.0000,0.0168,1.1979,0.0000,0.0505,0.0104,192,8
cvtb_mpc_v5,high_friction,1.0000,0.0000,0.0192,0.0005,0.4904,0.0056,0.0000,0.0131,1.1661,0.0000,0.0474,0.0000,192,8
cvtb_mpc_v5,low_friction,1.0000,0.0000,0.0124,0.0008,0.3682,0.0050,0.0000,0.0128,1.1661,0.0000,0.0473,0.0000,192,8
cvtb_mpc_v5,nominal,1.0000,0.0000,0.0111,0.0007,0.4063,0.0047,0.0000,0.0106,1.1659,0.0000,0.0461,0.0000,192,8
cvtb_mpc_v5,sensor_conflict,0.3125,0.0657,0.1512,0.0143,0.4184,0.0102,0.0000,0.0804,1.2530,0.0000,0.1107,0.2552,192,8
cvtb_mpc_v5,sticky_contact,1.0000,0.0000,0.0345,0.0007,0.6761,0.0066,0.0000,0.0159,1.1682,0.0000,0.0490,0.0000,192,8
cvtb_mpc_v5,tactile_noise,0.9740,0.0226,0.0185,0.0024,0.4231,0.0063,0.0000,0.0525,1.2322,0.0000,0.0828,0.0938,192,8
cvtb_mpc_v5,vision_bias,0.4688,0.0708,0.0878,0.0107,0.3952,0.0086,0.0000,0.0289,1.1764,0.0000,0.0600,0.0469,192,8
cvtb_no_probe,combined_shift,0.5469,0.0706,0.0777,0.0078,0.5088,0.0090,0.0000,0.0427,1.2061,0.0000,0.0721,0.0000,192,8
cvtb_no_probe,contact_dropout,0.8385,0.0522,0.0589,0.0033,0.4237,0.0059,0.0000,0.0357,1.1382,0.0000,0.0611,1.0000,192,8
cvtb_no_probe,delayed_touch_sticky,0.6250,0.0687,0.0854,0.0080,0.7559,0.0192,0.0000,0.0168,1.1979,0.0000,0.0505,0.0104,192,8
cvtb_no_probe,high_friction,1.0000,0.0000,0.0192,0.0005,0.4904,0.0056,0.0000,0.0131,1.1661,0.0000,0.0474,0.0000,192,8
cvtb_no_probe,low_friction,1.0000,0.0000,0.0124,0.0008,0.3682,0.0050,0.0000,0.0128,1.1661,0.0000,0.0473,0.0000,192,8
cvtb_no_probe,nominal,1.0000,0.0000,0.0111,0.0007,0.4063,0.0047,0.0000,0.0106,1.1659,0.0000,0.0461,0.0000,192,8
cvtb_no_probe,sensor_conflict,0.3125,0.0657,0.1512,0.0143,0.4184,0.0102,0.0000,0.0804,1.2530,0.0000,0.1107,0.2552,192,8
cvtb_no_probe,sticky_contact,1.0000,0.0000,0.0345,0.0007,0.6761,0.0066,0.0000,0.0159,1.1682,0.0000,0.0490,0.0000,192,8
cvtb_no_probe,tactile_noise,0.9740,0.0226,0.0185,0.0024,0.4231,0.0063,0.0000,0.0525,1.2322,0.0000,0.0828,0.0938,192,8
cvtb_no_probe,vision_bias,0.4688,0.0708,0.0878,0.0107,0.3952,0.0086,0.0000,0.0289,1.1764,0.0000,0.0600,0.0469,192,8
diagnostic_probe_then_mpc,combined_shift,0.5156,0.0709,0.0809,0.0079,0.5976,0.0103,0.0000,0.0583,0.0000,1.0000,0.0000,0.0000,192,8
diagnostic_probe_then_mpc,contact_dropout,0.8177,0.0548,0.0433,0.0057,0.5399,0.0070,0.0000,0.0513,0.0000,1.0000,0.0000,0.0000,192,8
diagnostic_probe_then_mpc,delayed_touch_sticky,0.6094,0.0692,0.0855,0.0084,0.8835,0.0255,0.0000,0.0341,0.0000,1.0000,0.0000,0.0000,192,8
diagnostic_probe_then_mpc,high_friction,1.0000,0.0000,0.0182,0.0006,0.5725,0.0060,0.0000,0.0507,0.0000,1.0000,0.0000,0.0000,192,8
diagnostic_probe_then_mpc,low_friction,1.0000,0.0000,0.0120,0.0010,0.4210,0.0050,0.0000,0.0582,0.0000,1.0000,0.0000,0.0000,192,8
diagnostic_probe_then_mpc,nominal,1.0000,0.0000,0.0118,0.0008,0.4709,0.0049,0.0000,0.0551,0.0000,1.0000,0.0000,0.0000,192,8
diagnostic_probe_then_mpc,sensor_conflict,0.2812,0.0638,0.1697,0.0150,0.5052,0.0119,0.0000,0.0873,0.0000,1.0000,0.0000,0.0000,192,8
