method,split,seed,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,mean_contact_violation,mean_disagreement,mean_branch_entropy,diagnostic_rate,mean_probe_value,fallback_rate,episodes,seeds
conformal_risk_filter,combined_shift,0,0.4583,0.2036,0.0842,0.0169,0.5013,0.0233,0.0000,0.0409,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,combined_shift,1,0.5000,0.2043,0.0729,0.0184,0.5150,0.0316,0.0000,0.0414,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,combined_shift,2,0.4167,0.2015,0.0881,0.0198,0.4904,0.0339,0.0000,0.0390,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,combined_shift,3,0.5417,0.2036,0.0853,0.0177,0.4885,0.0192,0.0000,0.0533,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,combined_shift,4,0.4583,0.2036,0.1044,0.0315,0.4698,0.0247,0.0000,0.0439,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,combined_shift,5,0.5417,0.2036,0.0807,0.0219,0.5043,0.0284,0.0000,0.0397,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,combined_shift,6,0.5417,0.2036,0.0843,0.0240,0.4953,0.0292,0.0000,0.0392,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,combined_shift,7,0.5000,0.2043,0.0747,0.0152,0.4884,0.0217,0.0000,0.0444,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,contact_dropout,0,0.7917,0.1660,0.0510,0.0144,0.4517,0.0171,0.0000,0.0362,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,contact_dropout,1,0.8750,0.1352,0.0455,0.0099,0.4407,0.0175,0.0000,0.0332,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,contact_dropout,2,0.9167,0.1130,0.0408,0.0125,0.4476,0.0184,0.0000,0.0335,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,contact_dropout,3,0.9583,0.0817,0.0355,0.0087,0.4522,0.0175,0.0000,0.0317,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,contact_dropout,4,0.9167,0.1130,0.0420,0.0098,0.4366,0.0177,0.0000,0.0380,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,contact_dropout,5,0.8750,0.1352,0.0381,0.0121,0.4589,0.0201,0.0000,0.0355,0.0000,0.0000,0.0000,0.0000,24,1
conformal_risk_filter,contact_dropout,6,0.8750,0.1352,0.0388,0.0152,0.4585,0.0167,0.0000,0.0329,0.0000,0.0000,0.0000,0.0000,24,1
