method,split,seed,episode,success,final_error,energy,max_contact_force,contact_violation,probe_contact,used_diagnostic,disagreement,branch_entropy,probe_value,fallback_used,action_move,action_dir_x,action_dir_y,action_anchor_x,action_anchor_y,object_path,pusher_path,true_friction,vision_bias_norm,tactile_noise,action_note
random_push,nominal,0,0,0,0.14121,0.26359,4.74589,0,1,0,0.00270,0.00000,0.03105,0.0,0.13305,0.80015,0.59980,-0.04636,0.01411,0.01456,0.13263,0.5500,0.00000,0.00600,random
random_push,nominal,0,1,0,0.12093,0.31575,4.31454,0,1,0,0.01340,0.00000,0.03600,0.0,0.16501,0.88465,0.46625,-0.01459,0.02531,0.09049,0.16238,0.5500,0.00000,0.00600,random
random_push,nominal,0,2,0,0.07861,0.30333,6.30209,0,1,0,0.01104,0.00000,0.03492,0.0,0.14225,0.89777,-0.44046,0.00824,0.00747,0.08474,0.14126,0.5500,0.00000,0.00600,random
random_push,nominal,0,3,1,0.03825,0.33236,5.00102,0,1,0,0.01399,0.00000,0.03626,0.0,0.18031,0.96536,0.26091,0.02519,0.02168,0.09164,0.18004,0.5500,0.00000,0.00600,random
random_push,nominal,0,4,0,0.13095,0.37637,5.81031,0,1,0,0.02929,0.00000,0.04266,0.0,0.23449,0.86506,-0.50167,-0.01608,-0.08644,0.08317,0.23389,0.5500,0.00000,0.00600,random
random_push,nominal,0,5,0,0.11838,0.23693,3.62538,0,1,0,0.01114,0.00000,0.03497,0.0,0.13280,0.98951,0.14448,-0.03432,-0.02021,0.00000,0.13262,0.5500,0.00000,0.00600,random
random_push,nominal,0,6,0,0.15922,0.28113,6.57818,0,1,0,0.00928,0.00000,0.03411,0.0,0.13445,0.95411,-0.29946,-0.02272,0.07582,0.06278,0.13368,0.5500,0.00000,0.00600,random
random_push,nominal,0,7,1,0.04864,0.38559,6.98205,0,1,0,0.01336,0.00000,0.03598,0.0,0.23484,0.74161,0.67083,0.01823,0.02869,0.13337,0.23341,0.5500,0.00000,0.00600,random
random_push,nominal,0,8,0,0.07732,0.37096,6.47000,0,1,0,0.01301,0.00000,0.03582,0.0,0.21597,0.90513,0.42514,-0.02705,0.02970,0.10709,0.21619,0.5500,0.00000,0.00600,random
random_push,nominal,0,9,0,0.13871,0.31373,6.17390,0,1,0,0.00195,0.00000,0.03069,0.0,0.15019,0.69437,0.71961,0.05815,0.05487,0.09853,0.14978,0.5500,0.00000,0.00600,random
random_push,nominal,0,10,0,0.15052,0.41804,5.25737,0,1,0,0.01187,0.00000,0.03530,0.0,0.28287,0.65056,-0.75945,-0.04565,0.00974,0.06993,0.28259,0.5500,0.00000,0.00600,random
random_push,nominal,0,11,0,0.07662,0.43906,6.72289,0,1,0,0.01398,0.00000,0.03625,0.0,0.28258,0.87949,-0.47591,-0.00340,-0.08017,0.10957,0.28285,0.5500,0.00000,0.00600,random
random_push,nominal,0,12,0,0.08873,0.35352,6.88183,0,1,0,0.01516,0.00000,0.03678,0.0,0.20656,0.96683,-0.25542,-0.03080,-0.04143,0.07657,0.20630,0.5500,0.00000,0.00600,random
random_push,nominal,0,13,1,0.07250,0.32968,3.71386,0,1,0,0.01611,0.00000,0.03720,0.0,0.15192,0.33107,0.94361,0.02199,0.01097,0.10964,0.15281,0.5500,0.00000,0.00600,random
random_push,nominal,0,14,0,0.08109,0.40523,5.53971,0,1,0,0.01380,0.00000,0.03617,0.0,0.23463,0.70475,-0.70946,0.04714,-0.05359,0.21456,0.23362,0.5500,0.00000,0.00600,random
random_push,nominal,0,15,1,0.05544,0.41100,6.37450,0,1,0,0.01028,0.00000,0.03457,0.0,0.26854,0.94749,-0.31980,-0.01861,-0.07947,0.15196,0.26540,0.5500,0.00000,0.00600,random
random_push,nominal,0,16,0,0.17269,0.35248,4.67698,0,1,0,0.00955,0.00000,0.03424,0.0,0.21605,0.58660,-0.80988,0.00494,0.02224,0.04415,0.21561,0.5500,0.00000,0.00600,random
random_push,nominal,0,17,1,0.05234,0.36357,3.49047,0,1,0,0.00279,0.00000,0.03109,0.0,0.21542,0.93157,0.36355,0.02405,-0.07538,0.10967,0.21353,0.5500,0.00000,0.00600,random
random_push,nominal,0,18,1,0.02857,0.33479,5.54967,0,1,0,0.01665,0.00000,0.03744,0.0,0.18216,0.99746,0.07122,0.03051,0.01419,0.14583,0.18072,0.5500,0.00000,0.00600,random
random_push,nominal,0,19,1,0.02214,0.33014,7.21403,0,1,0,0.02001,0.00000,0.03890,0.0,0.15313,0.94367,-0.33090,0.02258,0.00542,0.11710,0.15232,0.5500,0.00000,0.00600,random
random_push,nominal,0,20,1,0.02444,0.40642,4.30361,0,1,0,0.00413,0.00000,0.03171,0.0,0.25871,0.66220,-0.74933,0.02276,-0.07306,0.14578,0.25850,0.5500,0.00000,0.00600,random
random_push,nominal,0,21,0,0.19275,0.38633,3.85704,0,1,0,0.02752,0.00000,0.04198,0.0,0.27099,0.79698,-0.60401,-0.04420,0.04657,0.04454,0.27114,0.5500,0.00000,0.00600,random
random_push,nominal,0,22,0,0.08123,0.43758,7.10365,0,1,0,0.02395,0.00000,0.04055,0.0,0.28184,0.98518,-0.17150,-0.00016,-0.04374,0.19800,0.27959,0.5500,0.00000,0.00600,random
random_push,nominal,0,23,1,0.05148,0.38092,7.20799,0,1,0,0.00335,0.00000,0.03135,0.0,0.23064,0.91215,-0.40985,0.01961,0.00034,0.12571,0.23026,0.5500,0.00000,0.00600,random
random_push,nominal,1,0,0,0.16943,0.33769,3.57735,0,1,0,0.00068,0.00000,0.03009,0.0,0.21685,0.58175,-0.81337,-0.02885,0.02749,0.02056,0.21592,0.5500,0.00000,0.00600,random
random_push,nominal,1,1,0,0.09142,0.40656,6.04906,0,1,0,0.01134,0.00000,0.03506,0.0,0.23431,0.99832,0.05798,0.04417,0.00642,0.18864,0.23334,0.5500,0.00000,0.00600,random
random_push,nominal,1,2,0,0.10825,0.31959,5.16947,0,1,0,0.01662,0.00000,0.03743,0.0,0.16499,0.83452,0.55098,-0.02923,-0.02717,0.07791,0.16420,0.5500,0.00000,0.00600,random
random_push,nominal,1,3,0,0.12258,0.32747,5.64183,0,1,0,0.01196,0.00000,0.03534,0.0,0.18711,0.83565,-0.54927,-0.00900,0.01638,0.06718,0.18106,0.5500,0.00000,0.00600,random
random_push,nominal,1,4,1,0.05777,0.37076,5.69403,0,1,0,0.00546,0.00000,0.03233,0.0,0.20982,0.98701,-0.16065,0.03656,-0.05401,0.12941,0.20907,0.5500,0.00000,0.00600,random
random_push,nominal,1,5,0,0.12570,0.30514,6.48915,0,1,0,0.02240,0.00000,0.03991,0.0,0.16431,0.79096,0.61187,-0.00058,0.05336,0.05077,0.16500,0.5500,0.00000,0.00600,random
random_push,nominal,1,6,1,0.05025,0.33950,5.70018,0,1,0,0.00255,0.00000,0.03098,0.0,0.18752,0.98638,-0.16447,0.01580,-0.06971,0.08732,0.18676,0.5500,0.00000,0.00600,random
random_push,nominal,1,7,0,0.14800,0.41729,4.57556,0,1,0,0.01058,0.00000,0.03471,0.0,0.28059,0.78218,0.62305,0.01364,-0.09996,0.15894,0.27988,0.5500,0.00000,0.00600,random
random_push,nominal,1,8,0,0.07937,0.39224,4.43526,0,1,0,0.01381,0.00000,0.03618,0.0,0.24630,0.99258,-0.12160,0.01326,0.07337,0.16335,0.24456,0.5500,0.00000,0.00600,random
random_push,nominal,1,9,1,0.02794,0.32973,7.08444,0,1,0,0.00885,0.00000,0.03391,0.0,0.16772,0.94925,-0.31453,-0.00053,-0.00025,0.08782,0.16747,0.5500,0.00000,0.00600,random
random_push,nominal,1,10,0,0.11650,0.31709,4.68243,0,1,0,0.01366,0.00000,0.03611,0.0,0.17551,0.93606,0.35184,0.02136,-0.02425,0.05375,0.17404,0.5500,0.00000,0.00600,random
random_push,nominal,1,11,1,0.03341,0.44934,6.66507,0,1,0,0.01853,0.00000,0.03826,0.0,0.28015,0.99866,-0.05166,-0.02007,-0.06567,0.17909,0.27193,0.5500,0.00000,0.00600,random
random_push,nominal,1,12,0,0.14736,0.29327,6.41611,0,1,0,0.00942,0.00000,0.03418,0.0,0.13421,0.96655,0.25650,0.01567,0.05789,0.05066,0.13094,0.5500,0.00000,0.00600,random
random_push,nominal,1,13,0,0.14544,0.37098,5.51113,0,1,0,0.00902,0.00000,0.03399,0.0,0.22327,0.98153,-0.19129,-0.04945,-0.08397,0.06210,0.22346,0.5500,0.00000,0.00600,random
random_push,nominal,1,14,1,0.04551,0.43740,3.80106,0,1,0,0.00346,0.00000,0.03140,0.0,0.28211,0.97851,-0.20621,0.01576,0.01237,0.18642,0.28147,0.5500,0.00000,0.00600,random
random_push,nominal,1,15,0,0.13318,0.24989,5.73667,0,1,0,0.00953,0.00000,0.03423,0.0,0.12205,0.99475,0.10235,0.01720,-0.00971,0.02028,0.12122,0.5500,0.00000,0.00600,random
random_push,nominal,1,16,1,0.02767,0.41443,5.97685,0,1,0,0.01206,0.00000,0.03539,0.0,0.25298,0.93672,0.35008,-0.00222,0.02475,0.17938,0.25101,0.5500,0.00000,0.00600,random
random_push,nominal,1,17,0,0.08235,0.39708,5.80635,0,1,0,0.00286,0.00000,0.03112,0.0,0.25674,0.46805,-0.88370,-0.03437,-0.04127,0.04321,0.25709,0.5500,0.00000,0.00600,random
