method,split,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,mean_contact_violation,mean_disagreement,episodes,seeds
full_vt_disagreement_branch_mpc,combined_shift,0.5000,0.1276,0.0906,0.0162,0.5324,0.0227,0.0000,0.0501,60,5
no_branch_preservation,combined_shift,0.5167,0.1275,0.0761,0.0133,0.5470,0.0325,0.0000,0.0490,60,5
no_diagnostic_value,combined_shift,0.5500,0.1269,0.0908,0.0166,0.4812,0.0159,0.0000,0.0367,60,5
no_disagreement_trigger,combined_shift,0.5833,0.1258,0.0742,0.0128,0.4960,0.0152,0.0000,0.0473,60,5
no_risk_penalty,combined_shift,0.6000,0.1250,0.0785,0.0153,0.5229,0.0212,0.0000,0.0493,60,5
no_tactile_residual_update,combined_shift,0.7667,0.1079,0.0597,0.0119,0.5188,0.0146,0.0000,0.0000,60,5
small_branch_set,combined_shift,0.5000,0.1276,0.0872,0.0175,0.5271,0.0213,0.0000,0.0520,60,5
