method,split,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,mean_contact_violation,mean_disagreement,mean_branch_entropy,diagnostic_rate,mean_probe_value,fallback_rate,episodes,seeds
cvtb_mpc_v5,combined_shift,0.5469,0.0706,0.0777,0.0078,0.5088,0.0090,0.0000,0.0427,1.2061,0.0000,0.0721,0.0000,192,8
cvtb_mpc_v5,delayed_touch_sticky,0.6250,0.0687,0.0854,0.0080,0.7559,0.0192,0.0000,0.0168,1.1979,0.0000,0.0505,0.0104,192,8
cvtb_mpc_v5,sensor_conflict,0.3125,0.0657,0.1512,0.0143,0.4184,0.0102,0.0000,0.0804,1.2530,0.0000,0.1107,0.2552,192,8
cvtb_no_probe,combined_shift,0.5469,0.0706,0.0777,0.0078,0.5088,0.0090,0.0000,0.0427,1.2061,0.0000,0.0721,0.0000,192,8
cvtb_no_probe,delayed_touch_sticky,0.6250,0.0687,0.0854,0.0080,0.7559,0.0192,0.0000,0.0168,1.1979,0.0000,0.0505,0.0104,192,8
cvtb_no_probe,sensor_conflict,0.3125,0.0657,0.1512,0.0143,0.4184,0.0102,0.0000,0.0804,1.2530,0.0000,0.1107,0.2552,192,8
ensemble_uncertainty_mpc,combined_shift,0.5417,0.0707,0.0797,0.0080,0.5059,0.0087,0.0000,0.0427,1.0768,0.0000,0.0579,0.0000,192,8
ensemble_uncertainty_mpc,delayed_touch_sticky,0.6354,0.0683,0.0881,0.0086,0.7533,0.0201,0.0000,0.0168,1.0768,0.0000,0.0424,0.0000,192,8
ensemble_uncertainty_mpc,sensor_conflict,0.3177,0.0660,0.1548,0.0146,0.4215,0.0102,0.0000,0.0804,1.0768,0.0000,0.0874,0.0000,192,8
mean_only_fusion,combined_shift,0.5677,0.0703,0.0770,0.0080,0.5102,0.0090,0.0000,0.0427,0.0000,0.0000,0.0000,0.0000,192,8
mean_only_fusion,delayed_touch_sticky,0.6250,0.0687,0.0857,0.0081,0.7558,0.0192,0.0000,0.0168,0.0000,0.0000,0.0000,0.0000,192,8
mean_only_fusion,sensor_conflict,0.3542,0.0678,0.1466,0.0146,0.4283,0.0099,0.0000,0.0804,0.0000,0.0000,0.0000,0.0000,192,8
no_branch_preservation,combined_shift,0.5417,0.0707,0.0788,0.0079,0.5374,0.0113,0.0000,0.0440,0.0000,0.2552,0.0000,0.0000,192,8
no_branch_preservation,delayed_touch_sticky,0.6250,0.0687,0.0856,0.0081,0.7568,0.0190,0.0000,0.0166,0.0000,0.0104,0.0000,0.0000,192,8
no_branch_preservation,sensor_conflict,0.3542,0.0678,0.1487,0.0149,0.4998,0.0125,0.0000,0.0813,0.0000,0.6979,0.0000,0.0000,192,8
no_contact_safety,combined_shift,0.5469,0.0706,0.0777,0.0078,0.5087,0.0090,0.0000,0.0427,1.2061,0.0000,0.0721,0.0000,192,8
no_contact_safety,delayed_touch_sticky,0.6250,0.0687,0.0854,0.0080,0.7550,0.0192,0.0000,0.0168,1.1979,0.0000,0.0505,0.0104,192,8
no_contact_safety,sensor_conflict,0.3125,0.0657,0.1511,0.0144,0.4186,0.0102,0.0000,0.0804,1.2530,0.0000,0.1107,0.2552,192,8
no_cvar_tail,combined_shift,0.5469,0.0706,0.0776,0.0079,0.5087,0.0090,0.0000,0.0427,1.2061,0.0000,0.0721,0.0000,192,8
no_cvar_tail,delayed_touch_sticky,0.6250,0.0687,0.0854,0.0080,0.7564,0.0192,0.0000,0.0168,1.1979,0.0000,0.0505,0.0104,192,8
no_cvar_tail,sensor_conflict,0.3073,0.0654,0.1517,0.0143,0.4176,0.0102,0.0000,0.0804,1.2530,0.0000,0.1107,0.2552,192,8
no_reliability_fallback,combined_shift,0.5469,0.0706,0.0777,0.0078,0.5088,0.0090,0.0000,0.0427,1.2061,0.0000,0.0721,0.0000,192,8
no_reliability_fallback,delayed_touch_sticky,0.6302,0.0685,0.0852,0.0080,0.7565,0.0191,0.0000,0.0168,1.1979,0.0000,0.0505,0.0000,192,8
no_reliability_fallback,sensor_conflict,0.3385,0.0671,0.1479,0.0147,0.4260,0.0099,0.0000,0.0804,1.2530,0.0000,0.1107,0.0000,192,8
no_sensor_health,combined_shift,0.5573,0.0704,0.0788,0.0081,0.5086,0.0092,0.0000,0.0427,1.0611,0.0000,0.0652,0.0000,192,8
no_sensor_health,delayed_touch_sticky,0.6302,0.0685,0.0887,0.0089,0.7526,0.0203,0.0000,0.0168,1.0611,0.0000,0.0450,0.0104,192,8
no_sensor_health,sensor_conflict,0.3125,0.0657,0.1549,0.0144,0.4190,0.0103,0.0000,0.0804,1.0611,0.0000,0.1017,0.1667,192,8
no_value_of_information,combined_shift,0.5365,0.0707,0.0847,0.0075,0.4911,0.0089,0.0000,0.0427,1.2061,0.0000,0.0721,0.0000,192,8
no_value_of_information,delayed_touch_sticky,0.5260,0.0708,0.0957,0.0073,0.7383,0.0196,0.0000,0.0168,1.1979,0.0000,0.0505,0.0104,192,8
no_value_of_information,sensor_conflict,0.2969,0.0648,0.1558,0.0137,0.4030,0.0100,0.0000,0.0804,1.2530,0.0000,0.1107,0.2552,192,8
old_vt_disagreement_branch_mpc,combined_shift,0.5000,0.0709,0.0833,0.0083,0.5487,0.0115,0.0000,0.0476,0.7721,0.5052,0.0559,0.0000,192,8
old_vt_disagreement_branch_mpc,delayed_touch_sticky,0.6406,0.0680,0.0869,0.0083,0.7555,0.0198,0.0000,0.0165,0.8400,0.0104,0.0378,0.0000,192,8
old_vt_disagreement_branch_mpc,sensor_conflict,0.2812,0.0638,0.1657,0.0150,0.4878,0.0124,0.0000,0.0824,0.6826,0.8177,0.0768,0.0000,192,8
oracle_mode_mpc,combined_shift,0.8594,0.0493,0.0500,0.0036,0.5522,0.0077,0.0000,0.0427,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,delayed_touch_sticky,0.9219,0.0381,0.0429,0.0033,0.8881,0.0165,0.0000,0.0168,0.0000,0.0000,0.0000,0.0000,192,8
oracle_mode_mpc,sensor_conflict,0.5781,0.0700,0.0725,0.0055,0.4599,0.0086,0.0000,0.0804,0.0000,0.0000,0.0000,0.0000,192,8
robust_minimax_mpc,combined_shift,0.5833,0.0699,0.0756,0.0083,0.5411,0.0093,0.0000,0.0427,1.3538,0.0000,0.0715,0.0000,192,8
robust_minimax_mpc,delayed_touch_sticky,0.6458,0.0678,0.0745,0.0084,0.7774,0.0193,0.0000,0.0168,1.3538,0.0000,0.0562,0.0000,192,8
robust_minimax_mpc,sensor_conflict,0.3229,0.0663,0.1466,0.0141,0.4521,0.0104,0.0000,0.0804,1.3538,0.0000,0.1013,0.0000,192,8
small_branch_set,combined_shift,0.5521,0.0705,0.0782,0.0079,0.5075,0.0088,0.0000,0.0427,0.0000,0.0000,0.0000,0.0000,192,8
small_branch_set,delayed_touch_sticky,0.6250,0.0687,0.0852,0.0081,0.7574,0.0197,0.0000,0.0168,0.0000,0.0000,0.0000,0.0104,192,8
small_branch_set,sensor_conflict,0.3073,0.0654,0.1584,0.0145,0.4132,0.0104,0.0000,0.0804,0.0000,0.0000,0.0000,0.2552,192,8
tactile_trust_high,combined_shift,0.5573,0.0704,0.0786,0.0081,0.5079,0.0089,0.0000,0.0427,1.1898,0.0000,0.0704,0.0000,192,8
tactile_trust_high,delayed_touch_sticky,0.6094,0.0692,0.0882,0.0087,0.7553,0.0202,0.0000,0.0168,1.1803,0.0000,0.0493,0.0000,192,8
tactile_trust_high,sensor_conflict,0.3281,0.0666,0.1539,0.0146,0.4261,0.0105,0.0000,0.0804,1.2080,0.0000,0.1083,0.0000,192,8
